"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1219","RT @PHARAOH_ATEN_: 🚨#CATHYOBRIEN SAYS SHE WAS #RAPED AS A #CHILD BY THE #CLINTONS
🎥: https://t.co/WgWtYQSvB0
#PIZZAGATE
#HUMANTRAFFICKING
#…",FALSE,0,NA,2020-06-12 04:24:49,FALSE,NA,"1271297379816398849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nadinedaniels18",435,TRUE,FALSE,NA,NA
"1220","#PIZZAGATE https://t.co/f7Hd4CuUHY",FALSE,1,NA,2020-06-12 04:24:49,FALSE,NA,"1271297377534689280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hen_0119",0,FALSE,FALSE,NA,NA
"1221","PC Siqueira 
#Pizzagate 🍕🍕
#QAnonBR #PEDOGATE #DarkToLight #WWG1WGA
👠👠🌽🌽 https://t.co/lS1SiA6EES",FALSE,0,NA,2020-06-12 04:24:46,FALSE,NA,"1271297368810536961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rodoxfrugoli",0,FALSE,FALSE,NA,NA
"1222","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 04:24:46,FALSE,NA,"1271297366675591170",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AwakeAggie",5292,TRUE,FALSE,NA,NA
"1223","RT @LittleProblemm: Aparece muerto funcionario haitiano que expuso irregularidades de Fundación Clinton👈 #PizzaGate #ClintonGate  Ellos ase…",FALSE,0,NA,2020-06-12 04:24:43,FALSE,NA,"1271297356307316741",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","enriquesino",62,TRUE,FALSE,NA,NA
"1224","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 04:24:14,FALSE,NA,"1271297232336281601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","07glen",5292,TRUE,FALSE,NA,NA
"1225","RT @QAnonInfo: Brother and sister seen here talking about child sacrifice and eating babies flesh.

The media quickly buried the story. 

#…",FALSE,0,NA,2020-06-12 04:23:58,FALSE,NA,"1271297165227364352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eagle564414118",27,TRUE,FALSE,NA,NA
"1226","RT @MoonWyfe_Q: Why is nobody talking about this??!!! #adrenochrome #pizzagate these people are SICK!! https://t.co/I1fDWBFCeg",FALSE,0,NA,2020-06-12 04:23:57,FALSE,NA,"1271297163084148736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gideon20191",37,TRUE,FALSE,NA,NA
"1227","RT @mariakhaydar: I hope y’all know the story of Isaac Kappy, the actor who exposed Hollywood, Tom Hanks &amp; Steven Spielberg through his Per…",FALSE,0,NA,2020-06-12 04:23:14,FALSE,NA,"1271296980988411904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eagle564414118",33,TRUE,FALSE,NA,NA
"1228","RT @DansahRs: NUEVO HILO 
#PizzaGate (1) 

Comenzaré explicando este logotipo de una pizzería llamada #BestaPizza, quiénes hasta hace 4 año…",FALSE,0,NA,2020-06-12 04:23:14,FALSE,NA,"1271296979885158401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Elidethjmnz",4,TRUE,FALSE,NA,NA
