"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""291549593""","=""alex_escarra""","=""18043695460359735""","=""Xokas baneame por aquí, porfa, por decirte que no tocas el Zelda ni dedicando un doctorado a el""","=""https://www.instagram.com/alex_escarra""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/319343727_139159742268858_5314351423906511964_n.jpg""","=""17/11/2022, 14:02:45"""
"=""226085033""","=""milociraptor_""","=""17881239848765815""","=""El botas?""","=""https://www.instagram.com/milociraptor_""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/309949497_792693592007567_4335047147909210615_n.jpg""","=""17/11/2022, 21:54:10"""
"=""7078343240""","=""rodoamezquita_hdz""","=""17942431931305920""","=""Pedazo de hombre""","=""https://www.instagram.com/rodoamezquita_hdz""","=""https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg""","=""19/11/2022, 1:04:30"""
"=""27662112766""","=""leon_so_what""","=""18155836978273009""","=""El triunfo de la mediocridad y estupidez humana""","=""https://www.instagram.com/leon_so_what""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/176804647_845725866298511_5356560784173817653_n.jpg""","=""25/11/2022, 17:14:28"""
"=""5323882836""","=""diego_jupiter""","=""17978452939827710""","=""Irene Montero va contra ti ahora.""","=""https://www.instagram.com/diego_jupiter""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/318586134_3287681678214559_5011440293491291723_n.jpg""","=""26/11/2022, 5:56:16"""
"=""2328789970""","=""darionunez._""","=""18067031479315328""","=""Chau🇪🇦""","=""https://www.instagram.com/darionunez._""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/275451440_685910092547309_1467619246367521639_n.jpg""","=""6/12/2022, 18:48:30"""
"=""48832993675""","=""sh4d0w__08""","=""17864102183828246""","=""Es mi idolo este hombre.""","=""https://www.instagram.com/sh4d0w__08""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/346029848_2656078614534946_8831590075178192388_n.jpg""","=""7/12/2022, 17:45:13"""
"=""53041646216""","=""ldlucci""","=""17972278822959644""","=""Supongo que Grefg fue quien tomó la foto. 😂""","=""https://www.instagram.com/ldlucci""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/324581453_705153021241530_5441172016657270144_n.jpg""","=""23/12/2022, 1:16:17"""
"=""7959673229""","=""diazmaikr""","=""17971276750961072""","=""Llorón""","=""https://www.instagram.com/diazmaikr""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/344872757_272269908471561_2849276323726320236_n.jpg""","=""23/12/2022, 7:40:06"""
"=""45040305851""","=""narcilust""","=""17990480872632864""","=""@jtavalero a quien vas a pillar tu niño""","=""https://www.instagram.com/narcilust""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/345495485_1011757099813380_6712439614961178152_n.jpg""","=""23/12/2022, 9:17:47"""
